hour_start_iso,hour_start_ms,open,high,low,close,volume,trades_count,vwap
2025-07-04T13:00:00+00:00,1751634000000,38.651,38.765,38.124,38.25,170902.4,,
2025-07-04T14:00:00+00:00,1751637600000,38.25,38.571,38.175,38.222,197747.97,,
2025-07-04T15:00:00+00:00,1751641200000,38.22,38.351,37.786,37.908,352100.44,,
2025-07-04T16:00:00+00:00,1751644800000,37.901,38.285,37.561,38.204,285205.64,,
2025-07-04T17:00:00+00:00,1751648400000,38.205,38.678,38.142,38.559,219810.49,,
2025-07-04T18:00:00+00:00,1751652000000,38.56,38.629,38.101,38.196,138053.85,,
2025-07-04T19:00:00+00:00,1751655600000,38.196,38.394,37.992,38.326,138834.37,,
2025-07-04T20:00:00+00:00,1751659200000,38.326,38.724,38.289,38.4,119631.79,,
2025-07-04T21:00:00+00:00,1751662800000,38.394,38.738,38.386,38.713,151431.81,,
2025-07-04T22:00:00+00:00,1751666400000,38.706,39.056,38.678,39.004,109763.68,,
2025-07-04T23:00:00+00:00,1751670000000,39.0,39.191,38.806,39.005,85175.09,,
2025-07-05T00:00:00+00:00,1751673600000,39.005,39.349,38.933,39.207,103815.18,,
2025-07-05T01:00:00+00:00,1751677200000,39.199,39.207,38.804,38.894,56348.68,,
2025-07-05T02:00:00+00:00,1751680800000,38.891,39.18,38.71,39.13,60121.27,,
2025-07-05T03:00:00+00:00,1751684400000,39.131,39.302,39.114,39.146,54427.87,,
2025-07-05T04:00:00+00:00,1751688000000,39.148,39.296,38.931,39.003,71997.35,,
2025-07-05T05:00:00+00:00,1751691600000,39.007,39.476,38.932,39.459,81362.38,,
2025-07-05T06:00:00+00:00,1751695200000,39.464,39.619,39.365,39.618,65316.77,,
2025-07-05T07:00:00+00:00,1751698800000,39.619,39.666,39.48,39.523,63936.01,,
2025-07-05T08:00:00+00:00,1751702400000,39.521,39.638,39.289,39.434,74390.41,,
2025-07-05T09:00:00+00:00,1751706000000,39.434,39.514,39.074,39.445,73886.59,,
2025-07-05T10:00:00+00:00,1751709600000,39.448,39.512,39.28,39.281,39553.64,,
2025-07-05T11:00:00+00:00,1751713200000,39.281,39.393,39.2,39.217,42272.95,,
2025-07-05T12:00:00+00:00,1751716800000,39.217,39.478,39.055,39.378,59694.27,,
2025-07-05T13:00:00+00:00,1751720400000,39.37,39.581,39.276,39.495,36976.85,,
2025-07-05T14:00:00+00:00,1751724000000,39.496,39.63,39.408,39.568,65321.35,,
2025-07-05T15:00:00+00:00,1751727600000,39.559,39.644,39.298,39.314,83896.56,,
2025-07-05T16:00:00+00:00,1751731200000,39.314,39.467,38.734,38.888,110582.93,,
2025-07-05T17:00:00+00:00,1751734800000,38.892,39.18,38.544,38.67,295912.86,,
2025-07-05T18:00:00+00:00,1751738400000,38.65,38.752,38.281,38.334,203255.78,,
2025-07-05T19:00:00+00:00,1751742000000,38.332,38.769,38.203,38.691,91628.29,,
2025-07-05T20:00:00+00:00,1751745600000,38.689,38.822,38.532,38.822,49502.93,,
2025-07-05T21:00:00+00:00,1751749200000,38.822,39.025,38.757,39.005,44820.75,,
2025-07-05T22:00:00+00:00,1751752800000,39.005,39.29,38.878,39.193,95417.53,,
2025-07-05T23:00:00+00:00,1751756400000,39.193,39.25,39.008,39.141,48610.4,,
2025-07-06T00:00:00+00:00,1751760000000,39.141,39.188,38.854,39.188,53838.6,,
2025-07-06T01:00:00+00:00,1751763600000,39.188,39.25,39.067,39.248,46575.13,,
2025-07-06T02:00:00+00:00,1751767200000,39.244,39.48,39.225,39.318,83231.55,,
2025-07-06T03:00:00+00:00,1751770800000,39.318,39.338,39.064,39.283,43891.34,,
2025-07-06T04:00:00+00:00,1751774400000,39.279,39.448,39.14,39.145,51726.43,,
2025-07-06T05:00:00+00:00,1751778000000,39.145,39.21,38.912,38.923,34351.47,,
2025-07-06T06:00:00+00:00,1751781600000,38.925,39.16,38.85,38.916,62378.29,,
2025-07-06T07:00:00+00:00,1751785200000,38.916,38.997,38.809,38.942,48853.87,,
2025-07-06T08:00:00+00:00,1751788800000,38.944,38.958,38.656,38.751,61881.04,,
2025-07-06T09:00:00+00:00,1751792400000,38.75,38.969,38.661,38.766,41043.02,,
2025-07-06T10:00:00+00:00,1751796000000,38.768,39.055,38.751,39.017,31113.99,,
2025-07-06T11:00:00+00:00,1751799600000,39.017,39.031,38.886,39.014,34996.49,,
2025-07-06T12:00:00+00:00,1751803200000,39.015,39.151,38.845,39.144,28436.92,,
2025-07-06T13:00:00+00:00,1751806800000,39.144,39.698,39.12,39.369,194977.46,,
