ts,close,signal_score,score_smooth,rsi_14,bb_pctB,funding_bps,bull_regime,buy_alert,sell_alert,alert_confidence,alert_reasons
2025-02-25 17:00:00+00:00,19.675,1,0.5747917763547923,49.87272988487811,,,0,0,0,0.0,
2025-02-25 18:00:00+00:00,18.846,-1,-0.05512493418712466,43.10456928474619,,,0,0,0,0.0,
2025-02-25 19:00:00+00:00,19.777,1,0.3669250394877252,51.12621254692596,,,0,0,0,0.0,
2025-02-25 20:00:00+00:00,20.392,2,1.020155023692635,55.58135298474511,,,0,0,0,0.0,
2025-02-25 21:00:00+00:00,20.681,2,1.412093014215581,57.54007168601066,,,0,0,0,0.0,
2025-02-25 22:00:00+00:00,20.109,1,1.2472558085293486,52.5964414976232,,,0,0,0,0.0,
2025-02-25 23:00:00+00:00,20.198,1,1.1483534851176092,53.2691973413358,,,0,0,0,0.0,
2025-02-26 00:00:00+00:00,20.088,1,1.0890120910705654,52.28159363019024,,,0,0,0,0.0,
2025-02-26 01:00:00+00:00,21.1,3,1.8534072546423395,59.686644112400394,,,0,0,0,0.0,
2025-02-26 02:00:00+00:00,21.097,3,2.3120443527854038,59.65708920675,,,0,0,0,0.0,
2025-02-26 03:00:00+00:00,20.727,3,2.5872266116712423,55.97565731044241,,,0,0,0,0.0,
2025-02-26 04:00:00+00:00,20.613,3,2.7523359670027454,54.85250415646728,,,0,0,0,0.0,
2025-02-26 05:00:00+00:00,20.468,3,2.8514015802016472,53.38523834183371,,,0,0,0,0.0,
2025-02-26 06:00:00+00:00,21.042,3,2.9108409481209883,58.15685191297826,,,0,0,0,0.0,
2025-02-26 07:00:00+00:00,20.511,3,2.946504568872593,52.774936940129265,,,0,0,0,0.0,
2025-02-26 08:00:00+00:00,19.899,3,2.967902741323556,47.3376278911482,,,0,0,0,0.0,
2025-02-26 09:00:00+00:00,20.486,3,2.9807416447941337,52.40295660530885,,,0,0,0,0.0,
2025-02-26 10:00:00+00:00,20.473,3,2.9884449868764804,52.2830183290772,,,0,0,0,0.0,
2025-02-26 11:00:00+00:00,20.041,2,2.5930669921258884,48.32482182142666,,,0,0,0,0.0,
2025-02-26 12:00:00+00:00,19.681,1,1.955840195275533,45.25040592928253,,,0,0,0,0.0,
