ts,close,strat_value,bh_value,target_pos,target_w
2024-05-23 00:00:00+00:00,67900.07,79698.00473492489,79698.00473492489,1,1.0
2024-05-24 00:00:00+00:00,68497.47,80399.20560303361,80399.20560303361,1,1.0
2024-05-25 00:00:00+00:00,69244.29,81275.7888509763,81275.7888509763,1,1.0
2024-05-26 00:00:00+00:00,68555.48,80467.29509476275,80467.29509476275,1,1.0
2024-05-27 00:00:00+00:00,69438.5,81503.74368960269,81503.74368960269,1,1.0
2024-05-28 00:00:00+00:00,68340.67,80215.16091585676,80215.16091585676,1,1.0
2024-05-29 00:00:00+00:00,67621.67,79371.23151483537,79371.23151483537,1,1.0
2024-05-30 00:00:00+00:00,68430.55,80320.65795975635,80320.65795975635,1,1.0
2024-05-31 00:00:00+00:00,67570.0,79310.58362589132,79310.58362589132,1,1.0
2024-06-01 00:00:00+00:00,67858.33,79649.0122269991,79649.0122269991,1,1.0
2024-06-02 00:00:00+00:00,67820.77,79604.9260123922,79604.9260123922,1,1.0
2024-06-03 00:00:00+00:00,68824.27,80782.78853523638,80782.78853523638,1,1.0
2024-06-04 00:00:00+00:00,70559.07,82819.01763800679,82819.01763800679,1,1.0
2024-06-05 00:00:00+00:00,71111.73,83467.70473504222,83467.70473504222,1,1.0
2024-06-06 00:00:00+00:00,70840.76,83149.65251001473,83149.65251001473,1,1.0
2024-06-07 00:00:00+00:00,69376.8,81431.3230442021,81431.3230442021,1,1.0
2024-06-08 00:00:00+00:00,69347.3,81396.6972899182,81396.6972899182,1,1.0
2024-06-09 00:00:00+00:00,69669.98,81775.44435406502,81775.44435406502,1,1.0
2024-06-10 00:00:00+00:00,69510.12,81587.80797847771,81587.80797847771,1,1.0
2024-06-11 00:00:00+00:00,67391.67,79101.2680068591,79101.2680068591,1,1.0
2024-06-12 00:00:00+00:00,68215.5,80068.24207979855,80068.24207979855,1,1.0
2024-06-13 00:00:00+00:00,66774.83,78377.24935355446,78377.24935355446,1,1.0
2024-06-14 00:00:00+00:00,66034.15,77507.87295752035,77507.87295752035,1,1.0
2024-06-15 00:00:00+00:00,66249.99,77761.21610344033,77761.21610344033,1,1.0
2024-06-16 00:00:00+00:00,66751.55,78349.92435152974,78349.92435152974,1,1.0
2024-06-17 00:00:00+00:00,66494.54,78048.25773768201,78048.25773768201,1,1.0
2024-06-18 00:00:00+00:00,65219.9,76552.14345156532,76552.14345156532,1,1.0
2024-06-19 00:00:00+00:00,64943.29,76227.4712518205,76227.4712518205,1,1.0
2024-06-20 00:00:00+00:00,64902.5,76179.5938105581,76179.5938105581,1,1.0
2024-06-21 00:00:00+00:00,64111.49,75251.14235645249,75251.14235645249,1,1.0
2024-06-22 00:00:00+00:00,64298.52,75470.66963861247,75470.66963861247,1,1.0
2024-06-23 00:00:00+00:00,63216.34,74200.45612095275,74200.45612095275,1,1.0
2024-06-24 00:00:00+00:00,60374.12,70864.3879399082,70864.3879399082,1,1.0
2024-06-25 00:00:00+00:00,61814.43,72554.95811457459,72554.95811457459,1,1.0
2024-06-26 00:00:00+00:00,60870.07,71446.51142591175,71446.51142591175,1,1.0
2024-06-27 00:00:00+00:00,61665.0,72379.5639971968,72379.5639971968,1,1.0
2024-06-28 00:00:00+00:00,60455.65,70960.08413471388,70960.08413471388,1,1.0
2024-06-29 00:00:00+00:00,60947.08,71536.9022509085,71536.9022509085,1,1.0
2024-06-30 00:00:00+00:00,62840.74,73759.59397488373,73759.59397488373,1,1.0
2024-07-01 00:00:00+00:00,62919.99,73852.61400969728,73852.61400969728,1,1.0
2024-07-02 00:00:00+00:00,62129.19,72924.40904401199,72924.40904401199,1,1.0
2024-07-03 00:00:00+00:00,60250.0,70718.70154595163,70718.70154595163,1,1.0
2024-07-04 00:00:00+00:00,56926.92,66818.22183253552,66818.22183253552,1,1.0
